MLS	address	baths	beds	sqft	City	Bedrooms	Bathrooms	Living SQFT	Lot Size	Subdivision	Year Built	Type
6376556	1191 W Geronimo Place, Chandler	3	4	2,144	Chandler	4	3	2,144	5,623	Blakeman Ranch Unit 1	1996	Single Family - Detached
6375317	2422 E Winged Foot Drive, Chandler	2.5	5	2,884	Chandler	5	2.5	2,884	7,509	Cooper Commons 2 Parcel 6	2000	Single Family - Detached
6353333	1263 W Lantana Drive, Chandler	2	4	2,116	Chandler	4	2	2,116	6,900	Stillwater Cove	1994	Single Family - Detached
6368907	419 N Corsica Place, Chandler	2.5	4	2,407	Chandler	4	2.5	2,407	7,653	Sunset Cove	1996	Single Family - Detached
6369431	2920 E Cedar Place, Chandler	2	4	2,356	Chandler	4	2	2,356	8,522	Riggs Ranch Meadows	2004	Single Family - Detached
6375267	3310 W Del Rio Street, Chandler	2	3	2,230	Chandler	3	2	2,230	8,895	Sun Rise Lot 1-156 Tr A	1993	Single Family - Detached
6362926	5164 W Ross Drive, Chandler	2.5	4	2,341	Chandler	4	2.5	2,341	5,924	Harmon Ranch	1993	Single Family - Detached
6360396	970 N Cactus Way, Chandler	3	4	2,602	Chandler	4	3	2,602	6,804	Warner Ranch 4 Unit Two	1996	Single Family - Detached
6368919	3700 S Acacia Drive, Chandler	2.5	4	2,287	Chandler	4	2.5	2,287	8,468	Waters Edge At Ocotillo	1990	Single Family - Detached
6353457	6320 S Wilson Drive, Chandler	2	4	2,085	Chandler	4	2	2,085	7,359	Cooper Commons	2001	Single Family - Detached
6367688	683 N Butte Avenue, Chandler	2	4	2,188	Chandler	4	2	2,188	7,719	Park Promenade Parcel 1 Amd	1994	Single Family - Detached
6370739	4153 E Gleneagle Drive, Chandler	2	3	2,232	Chandler	3	2	2,232	9,409	Sun Groves Parcel 13 Thru 16	2005	Single Family - Detached
6368227	1200 W Seagull Drive, Chandler	3	4	2,097	Chandler	4	3	2,097	5,489	Clemente Ranch Parcel 19	1996	Single Family - Detached
6362765	1577 E Megan Street, Chandler	2.5	4	2,072	Chandler	4	2.5	2,072	11,626	Superstition Ranch-Parcel 2	1997	Single Family - Detached
6363015	1332 W Blue Ridge Court, Chandler	2	4	1,803	Chandler	4	2	1,803	9,104	Ocotillo Lakes Parcel H	1998	Single Family - Detached
6374040	1263 W Glenmere Drive, Chandler	2	4	1,908	Chandler	4	2	1,908	6,146	Crescent Village Lot 1-209 Tr A-C	1992	Single Family - Detached
6377232	3651 S Ivy Way, Chandler	2.5	3	2,050	Chandler	3	2.5	2,050	6,549	Corona Del Mar 1	1998	Single Family - Detached
6365734	1013 E Sheffield Avenue, Chandler	2	4	2,108	Chandler	4	2	2,108	9,230	Provinces Parcel 7	1994	Single Family - Detached
