MLS	price	Days on Market	Status	date
6380880	$650,000	4	ACTIVE	2022-04-12
6375317	$650,000	14	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6353333	$649,000▼	62	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6367688	$610,000	32	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-12
6370739	$600,000	25	ACTIVE	2022-04-12
6368227	$599,900	29	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6362765	$599,000	41	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6379721	$592,900	6	ACTIVE	2022-04-12
6374040	$585,000	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6365734	$575,000	35	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6367261	$559,000	32	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6375659	$550,000	14	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-12
6364980	$550,000▲	36	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6371857	$535,000▼	22	ACTIVE	2022-04-12
6368283	$535,000	29	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6372839	$650,000▼	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6356833	$650,000▲	54	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6380125	$649,900	5	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6363139	$629,999	40	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6370353	$629,000	25	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6378335	$620,000	8	ACTIVE	2022-04-12
6379393	$619,900	6	ACTIVE	2022-04-12
6378236	$600,000	8	ACTIVE	2022-04-12
6374646	$600,000	16	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6366596	$599,900	33	ACTIVE	2022-04-12
6368935	$599,000	28	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6366593	$597,000▼	33	ACTIVE	2022-04-12
6377368	$589,900	11	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6367197	$589,000	32	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6334868	$586,000	110	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6379781	$584,990	6	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6372504	$575,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6369624	$575,000	27	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6382130	$565,000	1	ACTIVE	2022-04-12
6375579	$551,000▲	14	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6380990	$550,000	4	ACTIVE	2022-04-12
6373982	$550,000	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6363285	$550,000	40	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6378502	$549,999	8	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6377336	$546,000	11	ACTIVE	2022-04-12
6375294	$539,900	14	ACTIVE	2022-04-12
6372850	$525,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6371365	$525,000	23	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6347487	$520,000	75	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6355173	$649,900	58	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6375212	$639,900	14	ACTIVE	2022-04-12
6380343	$635,000	5	ACTIVE	2022-04-12
6350834	$625,000	68	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6379666	$624,900	6	ACTIVE	2022-04-12
6374790	$606,000	15	ACTIVE	2022-04-12
6331019	$591,000	123	UCB (UNDER CONTRACT-BACKUPS)	2022-04-12
6366584	$588,000▼	33	ACTIVE	2022-04-12
6380659	$585,000	4	ACTIVE	2022-04-12
